brand,model,type,interface,capacity,price_per_gb,color,price
Western Digital,My Book for Mac,Desktop,USB 3.0,{'total': 3000000000000},"['USD', '0.083']",,"['USD', '249.00']"
Western Digital,My Passport,Portable,USB 3.0,{'total': 2000000000000},"['USD', '0.00']",,"['USD', '0.00']"
Western Digital,My Passport Air,Portable,USB 3.0,{'total': 500000000000},"['USD', '0.00']",,"['USD', '0.00']"
Western Digital,My Passport Slim,Portable,USB 3.0,{'total': 1000000000000},"['USD', '0.00']",,"['USD', '0.00']"
Western Digital,My Passport Studio,Portable,"USB 2.0, IEEE 1394b",{'total': 1000000000000},"['USD', '0.00']",,"['USD', '0.00']"
Western Digital,My Passport Ultra Portable,Portable,USB 3.0,{'total': 2000000000000},"['USD', '0.085']",,"['USD', '170.11']"
Western Digital,WDBGPU0010BBK-NESN,Portable,,{'total': 1000000000000},"['USD', '0.140']",,"['USD', '139.86']"
Western Digital,WDBWLG0100HBK-NESN,Desktop,USB 3.0,{'total': 10000000000000},"['USD', '0.017']",Black,"['USD', '169.99']"
Western Digital,WD_BLACK P10,Portable,USB 3.0,{'total': 5000000000000},"['USD', '0.024']",Black,"['USD', '119.99']"
Western Digital,WD_BLACK P50,Portable,USB Type-C,{'total': 1000000000000},"['USD', '0.200']",Black / Silver,"['USD', '199.99']"
